band1,band2,band3,band4,label
594.5,726.0,1400.0,2561.5,0
345.5,695.5,883.0,2736.75,0
541.0,920.75,1106.25,2831.5,0
734.25,1166.0,1344.5,2919.25,0
205.0,613.25,460.75,2566.5,1
213.5,626.75,507.25,2570.75,1
255.25,698.25,571.75,2658.0,1
278.25,731.75,589.5,2712.25,1
340.0,778.0,640.25,2985.75,0
303.25,713.0,540.25,2850.75,0
166.25,551.75,421.0,2431.25,0
226.75,565.25,388.75,2493.25,0
121.0,482.5,363.0,2217.5,1
141.75,503.5,370.0,2344.75,1
248.25,612.75,462.0,2500.25,1
288.0,654.75,515.5,2504.5,1
254.25,652.0,520.0,2501.0,1
255.5,645.5,538.25,2505.5,1
229.25,601.0,510.5,2502.75,1
219.5,617.0,479.25,2519.75,1
227.25,616.0,486.25,2557.0,1
260.25,666.25,521.75,2654.75,1
276.5,704.5,536.0,2718.25,0
302.5,702.75,557.0,2627.5,0
592.75,846.25,783.0,2093.25,0
1254.0,1328.5,1432.0,2048.0,0
1112.5,1444.0,1519.5,2365.75,0
1055.5,1348.0,1525.0,2470.25,0
1204.0,1436.0,1808.0,2534.0,0
1280.0,1548.0,1879.5,2631.25,0
1227.5,1442.0,1543.0,2456.75,0
1177.0,1365.5,1451.5,2138.75,0
952.5,1059.0,1823.0,2230.25,0
495.25,576.0,2438.0,2688.25,0
739.0,846.75,2066.5,2929.25,0
845.5,1049.5,1818.0,2980.0,0
851.5,1131.0,1290.5,2889.5,0
653.5,1047.75,958.0,2723.75,1
717.25,1099.25,1032.0,2732.75,0
648.75,998.5,961.5,2670.25,0
522.75,872.25,851.5,2622.75,0
471.25,835.5,913.5,2695.5,0
515.5,865.5,933.75,2590.0,0
448.75,815.5,842.25,2521.5,1
332.25,689.5,513.25,2662.75,1
292.5,669.5,504.75,2573.5,1
242.25,647.25,549.25,2597.75,1
283.75,703.5,564.0,2710.0,1
294.25,737.5,566.25,2741.0,1
263.5,712.0,547.25,2690.75,1
328.25,715.75,568.5,2699.75,1
270.0,652.0,570.5,2770.25,1
250.75,678.5,535.75,2840.25,1
272.75,694.0,557.5,2905.75,1
319.25,706.75,607.0,2968.25,1
336.25,735.75,623.5,2982.5,0
472.25,758.5,609.5,2434.0,0
1137.5,1035.0,740.25,1794.5,0
1428.5,1309.5,1109.5,2073.25,0
761.5,1135.5,1198.5,2601.0,0
662.5,1088.25,1207.0,2760.25,0
821.25,1194.5,1347.0,2768.5,0
1184.5,1492.5,1739.5,2537.5,0
1345.5,1595.5,1782.0,2338.0,0
1303.5,1340.5,1420.5,1863.25,0
978.0,889.75,1580.75,1910.75,0
870.25,958.5,1934.5,2067.25,0
1048.75,1116.0,2293.5,2379.0,0
1361.0,1522.0,2303.5,2603.75,0
1206.0,1286.0,1468.0,2231.0,0
1108.5,1430.0,1551.0,2612.75,1
1333.0,1601.0,1714.0,2484.25,0
1158.0,1342.0,1443.5,2139.75,0
846.5,1108.0,1204.0,2063.0,0
837.25,1123.0,1230.5,2203.5,0
1248.0,1458.5,1544.0,2377.25,0
1385.0,1651.0,1790.0,2628.25,0
746.25,1107.25,1148.5,2886.25,0
608.0,953.75,1000.75,2806.75,1
582.0,809.5,856.75,2540.0,1
528.0,757.0,678.25,2391.25,1
435.0,734.5,629.5,2330.5,1
412.0,711.5,688.5,2364.5,1
411.75,777.5,749.0,2585.75,1
268.25,615.0,577.0,2751.25,1
224.25,560.25,500.25,2560.0,1
267.25,622.75,570.0,2549.0,1
352.25,697.5,729.0,2635.25,1
421.5,722.0,733.5,2602.0,0
788.5,854.25,641.0,1942.0,0
1187.5,963.75,635.0,1627.25,0
1031.75,1020.25,893.0,2130.25,0
599.75,991.0,1037.75,2637.25,0
582.5,980.5,1026.75,2790.75,0
751.5,1160.0,1230.0,2788.0,0
1192.5,1529.5,1750.0,2574.0,0
1496.5,1721.5,1923.5,2412.0,0
1271.0,1359.0,1404.5,1956.5,0
1106.5,1069.5,1180.5,1659.0,0
1038.25,1146.5,1707.5,1989.5,0
1074.25,1254.0,1591.5,1969.5,0
822.5,1010.25,1343.5,1786.5,0
947.5,1072.5,1267.5,1847.25,0
1086.75,1313.5,1346.5,2419.5,0
1307.5,1512.5,1541.5,2135.75,0
1089.0,1280.0,1365.5,1788.5,0
828.0,1115.5,1260.0,2036.25,0
805.75,1059.0,1266.0,2120.0,0
1251.5,1488.0,1590.0,2191.25,0
1621.0,1740.5,1758.5,2365.75,0
1121.5,1197.0,1136.5,2046.0,0
829.0,1002.5,970.0,1931.0,0
709.75,861.5,893.5,1815.25,1
531.25,683.5,697.25,1539.25,0
510.5,682.25,746.5,1470.75,0
896.25,1001.5,1110.0,1755.25,0
779.25,1001.0,1074.75,2123.0,0
262.0,463.75,459.5,2256.0,0
166.75,395.25,385.5,2162.75,0
219.0,493.25,474.5,1823.5,0
373.5,556.75,589.25,1932.25,0
651.5,845.5,781.75,2072.75,0
775.75,895.75,765.0,1917.0,0
635.5,651.25,497.25,2088.25,0
430.5,664.25,650.5,2119.5,0
448.75,785.75,880.5,2305.5,0
531.0,877.75,976.5,2556.0,0
947.0,1266.5,1343.5,2640.0,0
1119.5,1472.5,1726.0,2427.5,0
1239.75,1525.0,1780.0,2367.0,0
1089.5,1334.0,1491.0,2019.25,0
970.5,1091.5,1259.5,1607.25,0
999.5,1163.5,1370.0,1740.25,0
812.25,985.25,1121.5,1657.5,0
564.0,760.25,856.5,1546.75,0
759.25,897.0,1020.25,1838.5,0
671.75,918.0,901.5,2787.5,0
832.75,1124.75,1218.0,1918.5,0
941.5,1080.0,1300.5,1884.0,0
993.25,1222.5,1408.0,2204.75,0
901.0,1115.5,1330.5,2179.75,0
781.25,989.5,1093.75,1823.25,0
759.0,958.75,1013.75,1871.0,0
1165.5,1160.5,1030.75,1974.25,0
1219.0,1227.5,1088.5,1885.25,0
982.0,1018.75,1083.0,1566.75,0
480.25,604.5,674.75,1211.75,0
428.5,622.0,740.25,1372.75,0
973.25,1126.0,1335.5,1921.25,0
921.5,1045.5,1215.5,1960.0,0
376.0,627.0,589.75,2203.0,0
330.5,644.0,611.5,2345.75,0
397.75,651.75,704.5,2102.0,0
312.0,496.0,563.25,1771.5,0
537.75,850.0,925.75,1936.75,0
714.5,974.0,1087.5,2013.0,0
562.25,780.75,780.0,2266.0,0
523.0,736.75,792.0,2045.0,0
609.0,792.75,884.5,1874.5,0
683.0,913.0,1043.0,1919.0,0
968.25,1148.5,1284.5,2043.25,0
913.75,1173.5,1332.5,1855.75,0
831.5,1059.5,1270.5,1755.75,0
642.5,833.0,954.0,1480.0,0
526.0,696.0,781.5,1287.75,0
642.25,869.75,946.75,1585.75,0
660.0,921.25,953.5,1782.0,0
705.25,947.25,1066.0,1728.25,0
627.75,824.25,933.5,1666.5,0
721.75,983.5,1018.25,2394.75,0
757.0,1065.5,1211.5,1909.5,0
956.25,1117.5,1335.5,1857.25,0
1010.25,1239.0,1473.0,1872.25,0
990.0,1195.0,1467.5,1871.75,0
720.75,927.75,1052.0,1731.0,0
576.5,791.25,799.0,1816.0,0
901.5,1103.0,1235.0,1845.25,0
993.5,1222.0,1413.5,1732.0,0
878.25,979.0,1144.5,1466.5,0
396.75,488.25,496.0,1090.75,0
516.25,770.75,817.75,1557.0,0
753.5,1001.25,1107.75,1706.0,0
842.0,969.0,1095.5,1723.5,0
658.5,889.75,912.0,1862.0,0
691.25,937.5,971.75,1845.5,0
823.5,927.25,1071.5,1607.5,0
694.0,800.5,843.0,1680.25,0
608.5,769.0,833.0,1651.5,0
690.75,813.75,915.25,1601.25,0
710.0,896.25,964.75,1688.0,0
875.0,1057.0,1211.0,1717.25,0
954.0,1105.5,1232.5,1673.0,0
995.5,1155.0,1299.5,1626.5,0
1014.25,1120.5,1396.0,1645.0,0
862.5,1027.25,1193.5,1483.0,0
677.75,823.75,945.5,1354.25,0
349.5,503.25,523.0,1221.75,0
343.25,623.0,588.0,1468.75,0
501.75,819.25,758.75,1818.5,0
351.25,679.0,619.5,2318.25,0
418.25,701.25,640.75,2312.0,0
417.25,682.25,661.75,2350.75,0
835.75,1001.75,1071.0,1972.75,0
755.75,959.5,1002.0,1897.5,0
731.75,889.75,969.0,1594.25,0
816.0,961.75,1098.25,1523.25,0
1018.0,1161.75,1368.5,1684.75,0
947.0,1080.0,1358.0,1594.75,0
617.5,816.5,956.0,1605.5,0
747.0,958.0,1087.0,1774.0,0
1194.0,1403.5,1629.5,1897.5,0
974.75,1118.5,1385.5,1588.75,0
441.5,602.0,743.25,1366.0,0
446.25,697.0,671.0,1939.5,0
510.75,805.25,808.75,2077.25,0
497.5,688.0,772.75,2012.5,0
564.75,716.75,702.75,1881.0,0
655.0,838.5,853.25,1787.25,0
789.75,991.5,1147.5,1731.75,0
548.5,821.25,893.0,2199.0,0
404.5,597.75,622.0,2185.5,0
381.25,528.25,558.25,2179.25,0
582.5,811.5,874.5,2197.75,0
1020.25,1213.5,1376.0,1920.0,0
1104.75,1267.5,1433.5,1774.5,0
